iteration,fitnessValue
0,66549.0
1,64585.0
2,63274.0
3,64679.0
4,65942.0
5,60405.0
6,62992.0
7,61941.0
8,68902.0
9,68260.0
10,55849.0
11,64754.0
12,66005.0
13,64117.0
14,64033.0
15,66795.0
16,65447.0
17,65385.0
18,68474.0
19,66947.0
20,64795.0
21,68253.0
22,64255.0
23,67754.0
24,70371.0
25,67740.0
26,65917.0
27,65765.0
28,70912.0
29,62731.0
30,68863.0
31,65693.0
32,66302.0
33,66517.0
34,60530.0
35,65860.0
36,63182.0
37,61455.0
38,71456.0
39,69902.0
40,67979.0
41,66743.0
42,67656.0
43,66078.0
44,70141.0
45,66868.0
46,61353.0
47,71597.0
48,70247.0
49,66045.0
50,61886.0
51,61705.0
52,57183.0
53,69712.0
54,60872.0
55,67056.0
56,66363.0
57,59227.0
58,68658.0
59,61044.0
60,62990.0
61,72648.0
62,64130.0
63,63954.0
64,62134.0
65,63098.0
66,65526.0
67,65957.0
68,64103.0
69,64468.0
70,67804.0
71,65466.0
72,65938.0
73,70718.0
74,54367.0
75,65931.0
76,61626.0
77,68483.0
78,56959.0
79,66965.0
80,64473.0
81,66454.0
82,61379.0
83,67658.0
84,64903.0
85,64549.0
86,67965.0
87,62582.0
88,60496.0
89,65366.0
90,66672.0
91,67200.0
92,65238.0
93,72773.0
94,61137.0
95,62083.0
96,62765.0
97,59100.0
98,68927.0
99,67094.0
100,60225.0
101,65191.0
102,66889.0
103,63814.0
104,68002.0
105,64777.0
106,63477.0
107,65167.0
108,68976.0
109,68442.0
110,68571.0
111,66250.0
112,59188.0
113,59225.0
114,70396.0
115,61910.0
116,65083.0
117,64467.0
118,66748.0
119,63922.0
120,64032.0
121,60365.0
122,71647.0
123,64217.0
124,64367.0
125,67326.0
126,63350.0
127,64009.0
128,61969.0
129,67767.0
130,64707.0
131,65245.0
132,68553.0
133,67159.0
134,69080.0
135,69388.0
136,59588.0
137,65172.0
138,67071.0
139,67933.0
140,69201.0
141,65740.0
142,63043.0
143,66910.0
144,67049.0
145,69292.0
146,57457.0
147,65630.0
148,64854.0
149,70093.0
150,67582.0
151,68344.0
152,68781.0
153,68598.0
154,64353.0
155,70098.0
156,60580.0
157,60997.0
158,62620.0
159,69549.0
160,59345.0
161,55938.0
162,60166.0
163,65770.0
164,64437.0
165,67407.0
166,67868.0
167,66635.0
168,67042.0
169,61367.0
170,65743.0
171,70681.0
172,63324.0
173,67485.0
174,66325.0
175,70833.0
176,65815.0
177,59893.0
178,59097.0
179,67255.0
180,64646.0
181,73465.0
182,62526.0
183,64528.0
184,70965.0
185,58572.0
186,70278.0
187,57127.0
188,68096.0
189,66753.0
190,64009.0
191,64145.0
192,69544.0
193,63861.0
194,65394.0
195,65431.0
196,62636.0
197,63365.0
198,65690.0
199,63208.0
