iteration,fitnessValue
0,64334.0
1,67772.0
2,69384.0
3,69096.0
4,63932.0
5,68485.0
6,63789.0
7,62953.0
8,59796.0
9,58945.0
10,62983.0
11,66655.0
12,68399.0
13,62149.0
14,64857.0
15,52916.0
16,59617.0
17,52873.0
18,50298.0
19,43185.0
20,40494.0
21,39077.0
22,41028.0
23,39202.0
24,40921.0
25,38232.0
26,34884.0
27,37510.0
28,33579.0
29,35100.0
30,37935.0
31,35902.0
32,36430.0
33,36612.0
34,38445.0
35,37574.0
36,36031.0
37,35950.0
38,35720.0
39,37438.0
40,38031.0
41,36909.0
42,36048.0
43,35893.0
44,36473.0
45,36617.0
46,36522.0
47,38449.0
48,34591.0
49,36123.0
50,36296.0
51,36319.0
52,35272.0
53,35058.0
54,29867.0
55,35100.0
56,35045.0
57,35678.0
58,38204.0
59,38200.0
60,36330.0
61,36396.0
62,37452.0
63,36672.0
64,33505.0
65,36297.0
66,38866.0
67,35284.0
68,34901.0
69,36874.0
70,36279.0
71,34944.0
72,34707.0
73,33435.0
74,36992.0
75,34312.0
76,35975.0
77,37479.0
78,34849.0
79,36337.0
80,37963.0
81,33927.0
82,35488.0
83,39584.0
84,36449.0
85,37601.0
86,37022.0
87,37364.0
88,34487.0
89,36859.0
90,37593.0
91,37275.0
92,36192.0
93,35220.0
94,32685.0
95,34500.0
96,35646.0
97,36239.0
98,36312.0
99,37636.0
100,32297.0
101,35800.0
102,34756.0
103,34229.0
104,34033.0
105,34148.0
106,33824.0
107,37037.0
108,35865.0
109,35336.0
110,36127.0
111,32805.0
112,37054.0
113,35635.0
114,34640.0
115,35494.0
116,34130.0
117,36242.0
118,36476.0
119,37028.0
120,33692.0
121,35458.0
122,34771.0
123,36528.0
124,36751.0
125,35313.0
126,35223.0
127,36416.0
128,33432.0
129,33687.0
130,37534.0
131,35171.0
132,33820.0
133,34520.0
134,36365.0
135,33382.0
136,33531.0
137,35088.0
138,34622.0
139,35409.0
140,33296.0
141,34875.0
142,36981.0
143,37242.0
144,35451.0
145,36336.0
146,34401.0
147,30882.0
148,35373.0
149,36017.0
150,38037.0
151,37457.0
152,31400.0
153,37125.0
154,37271.0
155,38783.0
156,35572.0
157,36536.0
158,35142.0
159,35230.0
160,34460.0
161,34608.0
162,34394.0
163,33500.0
164,35437.0
165,34918.0
166,38535.0
167,37195.0
168,35495.0
169,36286.0
170,34471.0
171,33913.0
172,36288.0
173,36857.0
174,34889.0
175,33801.0
176,34753.0
177,35532.0
178,33906.0
179,34427.0
180,32114.0
181,37102.0
182,38088.0
183,38592.0
184,36400.0
185,35356.0
186,36466.0
187,36401.0
188,37580.0
189,34605.0
190,36228.0
191,34417.0
192,35882.0
193,35157.0
194,36776.0
195,33810.0
196,34718.0
197,33757.0
198,36485.0
199,37732.0
