iteration,fitnessValue
0,27215.0
1,28294.0
2,28072.0
3,27136.0
4,27731.0
5,26602.0
6,27398.0
7,27371.0
8,27776.0
9,27465.0
10,26882.0
11,27656.0
12,27939.0
13,26827.0
14,26417.0
15,26499.0
16,26027.0
17,25946.0
18,25064.0
19,24649.0
20,25386.0
21,25131.0
22,25419.0
23,25760.0
24,25282.0
25,25709.0
26,25590.0
27,25872.0
28,25811.0
29,25688.0
30,25747.0
31,25730.0
32,25688.0
33,25470.0
34,25470.0
35,25901.0
36,25827.0
37,25031.0
38,25465.0
39,25315.0
40,25473.0
41,25511.0
42,25468.0
43,25672.0
44,25503.0
45,25534.0
46,25219.0
47,25401.0
48,25460.0
49,25534.0
50,25535.0
51,25688.0
52,25490.0
53,25473.0
54,25688.0
55,25569.0
56,25743.0
57,25720.0
58,25672.0
59,25688.0
60,26013.0
61,25508.0
62,25473.0
63,25717.0
64,25551.0
65,25717.0
66,25317.0
67,25460.0
68,25246.0
69,25688.0
70,25615.0
71,25717.0
72,25433.0
73,25470.0
74,25730.0
75,25681.0
76,25763.0
77,25871.0
78,25871.0
79,25732.0
80,25448.0
81,25246.0
82,25470.0
83,25730.0
84,25246.0
85,25739.0
86,25473.0
87,25470.0
88,25690.0
89,25470.0
90,25730.0
91,25652.0
92,25113.0
93,25470.0
94,25688.0
95,25401.0
96,25730.0
97,25401.0
98,25651.0
99,25473.0
100,25743.0
101,25656.0
102,25470.0
103,25473.0
104,25345.0
105,25717.0
106,25396.0
107,25717.0
108,25735.0
109,25575.0
110,25513.0
111,25473.0
112,25473.0
113,25800.0
114,25615.0
115,25717.0
116,25730.0
117,25690.0
118,25805.0
119,25627.0
120,25412.0
121,25473.0
122,25464.0
123,25730.0
124,25474.0
125,25805.0
126,25571.0
127,25464.0
128,25387.0
129,25470.0
130,25895.0
131,25561.0
132,25100.0
133,25084.0
134,25470.0
135,25664.0
136,25460.0
137,25171.0
138,25804.0
139,25422.0
140,25470.0
141,25387.0
142,25460.0
143,25236.0
144,25688.0
145,25690.0
146,25470.0
147,25470.0
148,25219.0
149,25788.0
150,25318.0
151,25473.0
152,25437.0
153,25318.0
154,25470.0
155,25473.0
156,25689.0
157,25894.0
158,25661.0
159,25473.0
160,25711.0
161,25376.0
162,25562.0
163,25470.0
164,25730.0
165,25822.0
166,25470.0
167,25473.0
168,25717.0
169,25730.0
170,25470.0
171,25470.0
172,25730.0
173,25470.0
174,25895.0
175,25358.0
176,25688.0
177,25470.0
178,25470.0
179,25500.0
180,25331.0
181,25419.0
182,25793.0
183,25263.0
184,25718.0
185,25246.0
186,25470.0
187,25652.0
188,25730.0
189,25460.0
190,25470.0
191,25473.0
192,25688.0
193,26435.0
194,25945.0
195,25017.0
196,25796.0
197,25720.0
198,25473.0
199,25470.0
