iteration,fitnessValue
0,66720.0
1,66898.0
2,63391.0
3,64110.0
4,58329.0
5,59844.0
6,67158.0
7,65272.0
8,68282.0
9,65197.0
10,56818.0
11,62755.0
12,60549.0
13,64002.0
14,57393.0
15,53277.0
16,52037.0
17,36591.0
18,37023.0
19,35117.0
20,34997.0
21,31782.0
22,33302.0
23,31895.0
24,30827.0
25,28804.0
26,30399.0
27,30254.0
28,29187.0
29,28988.0
30,31484.0
31,31165.0
32,30914.0
33,30776.0
34,29152.0
35,27320.0
36,30158.0
37,30787.0
38,29192.0
39,30436.0
40,29833.0
41,29929.0
42,30216.0
43,29757.0
44,29974.0
45,28510.0
46,28645.0
47,28847.0
48,28551.0
49,27788.0
50,29287.0
51,27511.0
52,30928.0
53,30174.0
54,30369.0
55,30204.0
56,26656.0
57,29593.0
58,29166.0
59,28295.0
60,29597.0
61,29566.0
62,30787.0
63,29371.0
64,29704.0
65,28815.0
66,31075.0
67,28747.0
68,28815.0
69,30131.0
70,30114.0
71,28764.0
72,31197.0
73,29413.0
74,29844.0
75,29909.0
76,30280.0
77,29951.0
78,27443.0
79,30837.0
80,29448.0
81,28059.0
82,30598.0
83,30651.0
84,29598.0
85,29517.0
86,28205.0
87,30135.0
88,28356.0
89,27111.0
90,28719.0
91,30179.0
92,28507.0
93,26882.0
94,29859.0
95,27707.0
96,30358.0
97,30183.0
98,29813.0
99,30864.0
100,30235.0
101,30940.0
102,28196.0
103,29293.0
104,29187.0
105,30085.0
106,30439.0
107,29036.0
108,29255.0
109,27252.0
110,29239.0
111,30316.0
112,29321.0
113,28712.0
114,28871.0
115,30827.0
116,29717.0
117,28960.0
118,30663.0
119,29522.0
120,29049.0
121,30695.0
122,28660.0
123,28721.0
124,29568.0
125,29432.0
126,29090.0
127,28556.0
128,29703.0
129,29560.0
130,29278.0
131,29523.0
132,30536.0
133,28762.0
134,29499.0
135,28647.0
136,31039.0
137,27698.0
138,29543.0
139,29111.0
140,28326.0
141,29428.0
142,29440.0
143,28740.0
144,30242.0
145,28785.0
146,28806.0
147,29820.0
148,29227.0
149,28435.0
150,29768.0
151,28980.0
152,28535.0
153,28970.0
154,29933.0
155,30176.0
156,30007.0
157,29524.0
158,30036.0
159,30094.0
160,28569.0
161,29445.0
162,29152.0
163,29527.0
164,29759.0
165,30183.0
166,29505.0
167,30268.0
168,30252.0
169,28761.0
170,28407.0
171,29716.0
172,29620.0
173,30247.0
174,29948.0
175,30000.0
176,30407.0
177,29453.0
178,28529.0
179,29044.0
180,30639.0
181,30413.0
182,29415.0
183,29702.0
184,28572.0
185,30589.0
186,29246.0
187,31869.0
188,30435.0
189,29121.0
190,30660.0
191,29373.0
192,28937.0
193,29441.0
194,28087.0
195,29455.0
196,30066.0
197,29068.0
198,30001.0
199,29224.0
