iteration,fitnessValue
0,67425.0
1,63260.0
2,63887.0
3,62407.0
4,63622.0
5,66458.0
6,64278.0
7,66790.0
8,66869.0
9,63972.0
10,67098.0
11,63511.0
12,59130.0
13,65445.0
14,63027.0
15,64640.0
16,65632.0
17,61494.0
18,64134.0
19,56920.0
20,48285.0
21,48824.0
22,42685.0
23,36363.0
24,33138.0
25,31056.0
26,33758.0
27,29216.0
28,31630.0
29,32079.0
30,29164.0
31,31414.0
32,31207.0
33,28928.0
34,28739.0
35,29864.0
36,28699.0
37,32074.0
38,30612.0
39,31993.0
40,30183.0
41,27996.0
42,29072.0
43,30458.0
44,29028.0
45,29349.0
46,28053.0
47,29835.0
48,28178.0
49,29805.0
50,30429.0
51,28237.0
52,28996.0
53,30878.0
54,29285.0
55,28393.0
56,30659.0
57,29507.0
58,29389.0
59,27829.0
60,31292.0
61,30448.0
62,29339.0
63,27960.0
64,30715.0
65,29588.0
66,29559.0
67,29121.0
68,27237.0
69,28234.0
70,30950.0
71,29452.0
72,28996.0
73,28906.0
74,28646.0
75,26651.0
76,29502.0
77,29599.0
78,26751.0
79,28668.0
80,29681.0
81,29545.0
82,29534.0
83,28282.0
84,29900.0
85,28625.0
86,29543.0
87,29114.0
88,28673.0
89,29088.0
90,29545.0
91,30896.0
92,29567.0
93,28763.0
94,28315.0
95,28235.0
96,29270.0
97,29691.0
98,29374.0
99,26388.0
100,29962.0
101,30089.0
102,29193.0
103,30499.0
104,29690.0
105,29917.0
106,29913.0
107,30404.0
108,29996.0
109,29226.0
110,29594.0
111,27642.0
112,28507.0
113,30351.0
114,29313.0
115,29515.0
116,29004.0
117,29000.0
118,28691.0
119,30650.0
120,29375.0
121,29660.0
122,28189.0
123,30123.0
124,29708.0
125,29683.0
126,30107.0
127,29299.0
128,30730.0
129,29253.0
130,29971.0
131,26899.0
132,29449.0
133,29588.0
134,28275.0
135,28894.0
136,29398.0
137,27245.0
138,29283.0
139,30729.0
140,30150.0
141,28733.0
142,28263.0
143,29819.0
144,28676.0
145,28275.0
146,30527.0
147,29069.0
148,27712.0
149,29925.0
150,29262.0
151,29026.0
152,29852.0
153,30875.0
154,30622.0
155,29516.0
156,30202.0
157,28328.0
158,26740.0
159,29412.0
160,29428.0
161,29477.0
162,30150.0
163,28142.0
164,28090.0
165,29607.0
166,27717.0
167,28962.0
168,29021.0
169,30648.0
170,29974.0
171,29749.0
172,29525.0
173,28892.0
174,28381.0
175,28369.0
176,29338.0
177,28958.0
178,28334.0
179,28953.0
180,27930.0
181,27515.0
182,26586.0
183,29369.0
184,29363.0
185,27829.0
186,29886.0
187,29237.0
188,29215.0
189,27000.0
190,28695.0
191,28857.0
192,28682.0
193,30902.0
194,27742.0
195,29221.0
196,28399.0
197,29115.0
198,29977.0
199,30305.0
