iteration,fitnessValue
0,64036.0
1,70400.0
2,67618.0
3,66608.0
4,67143.0
5,59294.0
6,55289.0
7,68197.0
8,58980.0
9,72668.0
10,67982.0
11,69293.0
12,61710.0
13,66494.0
14,65471.0
15,67858.0
16,71003.0
17,69136.0
18,71734.0
19,57941.0
20,66392.0
21,68203.0
22,68955.0
23,61241.0
24,63723.0
25,64083.0
26,63071.0
27,60727.0
28,68152.0
29,65526.0
30,67059.0
31,67327.0
32,63969.0
33,63762.0
34,66884.0
35,69252.0
36,66732.0
37,68736.0
38,70216.0
39,66019.0
40,57451.0
41,62451.0
42,64292.0
43,66654.0
44,69026.0
45,64130.0
46,61889.0
47,68752.0
48,66230.0
49,66747.0
50,63124.0
51,64727.0
52,69605.0
53,69647.0
54,61605.0
55,61862.0
56,65572.0
57,67107.0
58,66175.0
59,65135.0
60,64513.0
61,66014.0
62,61742.0
63,66783.0
64,67449.0
65,70696.0
66,62999.0
67,66117.0
68,65808.0
69,57564.0
70,63875.0
71,67096.0
72,68789.0
73,65207.0
74,66437.0
75,65655.0
76,62768.0
77,60781.0
78,68914.0
79,59979.0
80,68157.0
81,60939.0
82,68791.0
83,67320.0
84,66969.0
85,65384.0
86,66657.0
87,64600.0
88,64899.0
89,64416.0
90,68583.0
91,64693.0
92,65308.0
93,68537.0
94,64883.0
95,65363.0
96,66099.0
97,59512.0
98,64049.0
99,70380.0
100,65364.0
101,68269.0
102,68856.0
103,62523.0
104,65532.0
105,61943.0
106,68382.0
107,63893.0
108,66106.0
109,63539.0
110,68108.0
111,65978.0
112,67718.0
113,69848.0
114,71837.0
115,65140.0
116,70733.0
117,61933.0
118,67578.0
119,68900.0
120,66657.0
121,52708.0
122,63152.0
123,61210.0
124,65153.0
125,60754.0
126,69394.0
127,68835.0
128,64562.0
129,67793.0
130,65590.0
131,60669.0
132,64599.0
133,70151.0
134,66177.0
135,64971.0
136,62212.0
137,67795.0
138,63859.0
139,62661.0
140,65079.0
141,64565.0
142,66887.0
143,64370.0
144,69903.0
145,67766.0
146,61267.0
147,67644.0
148,69601.0
149,57865.0
150,61931.0
151,68658.0
152,66517.0
153,60808.0
154,64365.0
155,63670.0
156,67648.0
157,61209.0
158,70032.0
159,59940.0
160,69066.0
161,68784.0
162,68488.0
163,62261.0
164,61142.0
165,68112.0
166,66704.0
167,68371.0
168,64181.0
169,65400.0
170,63924.0
171,68080.0
172,70605.0
173,61411.0
174,67893.0
175,58084.0
176,64250.0
177,66923.0
178,58421.0
179,70176.0
180,68828.0
181,70066.0
182,68944.0
183,68165.0
184,61359.0
185,65684.0
186,65210.0
187,64540.0
188,66917.0
189,66237.0
190,66108.0
191,66636.0
192,62292.0
193,67344.0
194,61095.0
195,66013.0
196,68237.0
197,68181.0
198,64208.0
199,65580.0
